GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4103473,4143333,4317140,4553559,4677759,4811932,4737633,4736946,4531033,4715965,4892739,4914546,5238090,5249259,5257414,5178714,5103322,5222391
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",3667589,3618877,3755684,3949920,4013134,4104802,4140876,4176046,3926579,4132024,4288923,4411876,4438055,4607523,4576038,4624499,4721376,4779555
22660,"Fort Collins, CO (Metropolitan Statistical Area)",10335151,10994873,11079521,11237454,11475205,11891301,12200283,12522000,12377818,12632341,12807724,13104708,13582127,14114143,14784676,15358832,16121584,16793330
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",7751269,7996309,8405835,8920565,9191819,9666117,9379939,9137238,8448114,8781728,8977678,8788313,8677999,8650969,8673822,8638637,8634927,8755173
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",15388956,15646958,16193959,16642202,17099279,17703122,18177658,17348308,16130649,16559301,16886132,17822333,17792801,19163956,19979691,20106849,20292855,20926252
23420,"Fresno, CA (Metropolitan Statistical Area)",28226117,30796288,32877267,33959620,35484674,38213603,37155855,35838787,35907800,36039096,36440914,35320177,35683488,37433031,39100161,39839249,41597807,43436946
23460,"Gadsden, AL (Metropolitan Statistical Area)",2604259,2664316,2687323,2827403,2830042,2831517,2814999,2821187,2716066,2793082,2823761,2801621,2759996,2725594,2741934,2742949,2746645,2803470
23540,"Gainesville, FL (Metropolitan Statistical Area)",10219840,10491582,10563063,11441177,11808541,12391588,12975337,12666539,12249306,12133089,11920677,11955810,11991339,12282180,12786634,13191274,13609063,13930241
23580,"Gainesville, GA (Metropolitan Statistical Area)",6235658,6171440,6360366,6578552,6811907,7004370,7190669,7145426,6745284,6849881,7196103,7138502,7295116,7494089,7807071,8015174,8440946,8764977
23900,"Gettysburg, PA (Metropolitan Statistical Area)",2591190,2773181,2775851,2821790,2922440,3079881,3088131,3128051,3129119,3112492,3191194,3256380,3295629,3296990,3334856,3327497,3476444,3487746
